views,likes,comment_count,category_id
304926,3305,275,24
247319,10138,639,26
296434,3327,377,1
125962,5048,369,10
419341,53572,3083,10
138988,7999,612,10
1774018,88417,7686,10
1575525,52829,5864,28
626688,25115,1392,10
219030,14303,1099,26
493662,7693,388,10
1017803,25122,1504,24
139955,4417,457,24
362009,5505,1264,22
294387,15247,976,22
844653,11616,1518,24
1315873,9312,769,23
188003,9091,2814,22
1624771,84426,5981,10
125970,935,262,25
205869,11198,446,10
98422,2926,798,10
426078,19323,945,15
33315,1365,91,10
1231518,32648,9288,10
154872,7683,1734,20
72626,3652,219,26
366180,4364,1997,24
264511,11736,743,10
192609,1345,126,24
95944,1354,117,10
154494,2163,211,10
53321,443,106,22
95085,909,193,24
91776,4604,357,10
764716,35765,1159,10
135337,7158,318,10
77630,1991,208,26
378750,5642,675,24
151709,9210,1103,24
175852,15909,852,24
5149,242,54,10
1905487,65854,4490,10
9632678,810895,59473,10
476389,16106,2077,24
754558,11985,1757,24
762616,20159,899,10
199429,10175,539,24
691229,31892,1404,22
6412,49,2,27
108618,4989,274,23
79306,3809,670,27
812007,5894,851,24
55398,1170,336,26
773,2,0,27
581288,5075,1780,24
99619,3959,335,10
4850,22,1,2
226088,10844,555,10
651036,23338,1101,10
451356,3454,623,24
46571,4250,408,15
28539,681,45,24
12609,40,17,1
30021,569,44,10
471266,23634,1714,26
1073134,47793,5358,24
18573,420,236,17
250193,5748,1197,27
1827,3,2,28
2457408,2707,209,28
51143,258,10,23
27010,1666,150,24
122669,5723,263,26
358597,1211,593,22
56012,6243,414,24
6148,121,19,22
1390440,86207,710,26
244532,633,765,25
82087,998,289,24
359120,15130,1143,23
33768,426,550,25
38068,2195,154,10
1277364,56867,25326,26
1498866,67227,4645,10
280065,20289,939,22
2259,0,0,22
470191,4037,1553,17
16305,147,47,17
169511,57,79,25
160477,8388,950,24
704363,16352,841,2
130778,5684,737,22
560569,29990,1788,28
462490,14132,666,23
295217,4854,1267,23
1525400,63995,4697,24
1836419,28647,7860,28
977285,87615,5575,26
390964,3687,1224,28
1611093,58474,3294,23
983365,60983,3837,23
2765121,35529,2388,23
3701763,56561,11608,28
829132,25109,3428,1
391049,5939,385,24
137003,580,343,25
891912,122347,7459,23
175539,17130,1747,26
14565,478,67,24
125645,16754,1373,10
2188590,88099,24225,22
394709,25188,1345,1
863116,20518,4272,24
200235,1197,627,17
4632016,131784,18284,24
122426,6310,1624,10
758998,19138,2873,28
145100,5198,657,26
2671756,12699,1010,1
52743,4553,550,24
121681,6095,731,28
11404,62,20,24
419965,9805,5457,27
137749,1145,131,23
772235,15301,3328,24
297147,10410,665,27
126438,12229,1865,24
2285136,180284,11700,10
206319,11131,553,27
60564,975,106,24
373457,16433,5220,27
4326684,167696,9265,23
137860,1950,136,24
4009,61,14,27
3006,75,10,24
635985,20721,4111,25
130893,8177,349,23
46954,87,28,17
208155,11162,954,10
190669,5162,1151,24
2509626,144816,18893,24
20778,1440,437,26
30438,143,220,25
94694,136,31,17
211683,2279,1838,24
210393,8996,4043,10
63780,831,301,17
18438,563,29,24
1099318,26813,3827,28
71661,6310,300,17
935879,5715,3442,17
131153,7129,265,10
84149,276,172,25
34138,4303,1399,23
144937,5246,280,24
306550,16612,1311,27
328325,19970,3336,28
2472569,17959,2690,24
341074,10915,1313,2
113963,11576,635,24
21544,83,62,17
93322,398,497,25
68084,2530,117,10
279092,8339,2371,15
692631,9086,4582,25
155285,4719,207,24
93829,2229,469,2
31639,586,67,26
37524,126,45,17
358358,9211,1385,23
158173,6587,611,28
45200,930,116,10
286577,9606,1196,27
315177,4212,259,28
225044,2265,868,26
399491,6240,287,23
231104,12862,1824,26
5813,33,0,17
18317,1322,196,10
246134,5847,544,1
32483,23,135,25
113462,4566,757,24
311621,2425,465,19
94229,217,0,24
571588,386,113,19
272604,9576,1619,24
42336,4293,428,1
13750,305,39,24
6684,18,54,17
128523,4170,307,22
102639,3218,475,24
20539417,840642,124236,10
238413,732,618,25
41029,296,33,17
805124,44513,3929,23
55140,136,46,2
120817,2896,594,22
58469,828,271,1
360223,15873,7803,10
1775997,37124,2695,26
6685,11,18,25
200060,4548,258,24
346924,4657,734,22
12987863,216319,12133,10
1981757,103407,12354,24
1015189,2133,1465,17
3653,47,25,24
2255529,48000,8507,24
1155622,16060,1018,17
9892,250,19,25
5626588,408618,28196,10
85643,170,0,22
212310,7589,463,22
180284,6073,512,17
301423,8409,952,24
835573,27068,5165,24
3686343,130373,6694,10
297840,10429,990,28
2922523,119348,6736,22
595415,8795,1022,24
3643894,125205,5687,23
9833,73,62,25
7563254,58209,7120,26
54341,487,64,10
357078,19783,1732,10
1888789,44007,1794,10
168446,374,191,23
263656,2556,2377,24
515525,24115,1860,26
39082222,1721383,90352,10
1080230,2540,1040,28
873362,36365,2630,10
366892,9052,3088,26
48372,382,29,22
216766,7108,319,22
81086,3085,250,24
3931,17,2,28
1072970,102199,8943,24
56372,2332,261,1
69786,453,19,27
204298,9321,993,10
101233,3128,93,24
1126501,48219,1083,10
2498463,75023,3483,24
224608,14843,1004,10
45965,2284,17,15
317304,17023,939,15
1996082,18992,1322,1
44939,1576,1021,24
118316,3823,404,26
2244971,101831,11863,26
2844271,60500,8122,1
99019,2404,135,26
3591699,212004,20418,23
1137392,26180,1055,10
147193,5405,395,10
482334,55001,3027,10
269509,10801,653,26
3741812,314872,12114,23
1185773,45513,4794,22
178313,9072,656,10
2185367,96850,8216,10
366814,4099,449,1
797436,29425,1497,10
1646057,53901,5963,28
271685,3330,0,24
3505996,5934,5162,17
194946,9278,2803,22
392482,5659,1311,22
1882868,88072,6083,10
226317,11702,471,10
232083,14766,1107,26
144694,1012,288,25
908489,12261,1600,24
180606,2400,239,10
308352,15765,984,22
193832,1351,128,24
41251,1561,96,10
524911,7822,403,10
467804,19962,953,15
77302,3756,222,26
304700,12347,756,10
1440724,36686,9637,10
878560,12961,1788,24
155533,4621,451,24
161231,7803,1479,20
379918,4472,2066,24
90454,211,59,25
157037,7800,326,10
895507,38734,1270,10
134372,7979,310,23
55901,477,105,22
207678,10372,554,24
3979891,151850,8079,1
387902,24442,1346,26
1803724,57470,7483,22
3621389,141681,8127,24
1012513,20036,5153,23
224426,17784,2762,20
1147169,31832,1498,23
1362421,8970,3857,28
593969,24672,5173,24
2916453,93039,6493,24
533940,12633,1828,25
1559003,29898,1838,24
2900560,37329,10768,28
760341,13283,433,24
1961066,142740,8471,26
1258937,114661,11298,10
133212,6260,528,10
235655,2665,336,24
208117,21334,1229,24
229515,9435,759,17
1496471,43974,9442,1
211596,3802,232,23
2223948,76806,4176,23
5531707,72727,14816,28
623803,17286,6126,28
1610930,85208,5001,23
42571,3557,693,24
507753,35595,2176,10
237107,2207,261,24
1825705,77531,12025,28
1251180,32186,4166,1
79863,259,47,24
50934,2793,295,10
21740,979,93,27
574778,7517,515,24
153220,660,479,25
845763,17929,2325,17
42769,175,100,24
177648,6932,697,27
225337,9576,2282,10
17901,2325,429,26
290124,23472,2308,26
15232,84,20,17
1291560,152975,8490,23
28895,309,76,24
520049,28187,1607,1
10838,7,10,17
281868,1546,885,17
2325233,91111,21450,22
196434,6305,762,26
936075,21642,2877,24
52607,3835,351,22
91701,5930,743,24
17129,455,101,1
5086221,137819,18395,24
860406,20489,3083,28
2394,19,2,17
153583,6989,845,28
587752,11891,6920,27
128892,1935,288,17
98396,93,46,17
90641,2349,1246,24
62185,4369,867,1
30576,1741,283,15
33887,1350,69,10
12494,252,91,17
338317,11251,680,27
232532,11933,607,27
100472,5140,560,24
2814427,194199,12409,10
414929,8895,2594,24
827546,15887,3460,24
440163,17988,5752,27
141129,8451,349,23
34221,1445,903,24
4576001,172379,9440,23
282854,12958,1060,10
30341,730,34,24
207712,5447,1191,24
135459,9381,403,17
214305,4064,430,24
31910,1699,142,15
265822,9045,4701,10
11769,127,0,27
2584165,147110,19313,24
175760,15482,2164,24
220189,2338,1922,24
157522,8012,286,10
84091,2892,122,10
1037561,716,223,19
174568,4934,208,24
10457,54,2,17
212992,7049,365,24
31076,1814,523,26
1154280,27632,2547,28
984836,5855,3171,17
549044,16946,1626,2
46545,5320,1596,23
32347,145,245,25
319797,17086,1356,27
62620,1170,131,10
372775,21214,3433,28
2567518,18425,2776,24
120697,2376,492,2
289923,8480,2011,15
209442,19069,836,24
44320,130,42,17
727427,9459,3292,25
99999,143,32,17
85742,278,174,25
20529,318,41,24
237111,2323,636,26
104295,423,551,25
409445,6345,299,23
365006,9431,1278,23
174023,7010,632,28
37575,1679,82,10
248499,13613,1870,26
327935,4345,261,28
59466,39,34,25
403564,2581,477,19
264129,6161,579,1
36859,23,135,25
22101,83,61,17
133296,5012,737,24
297046,9905,1551,24
28147,1801,263,10
46308,4511,442,1
33513,607,70,26
102878,225,0,24
136066,4355,318,22
100120,154,48,2
42472,303,36,17
863232,46439,3708,23
22702386,869304,123227,10
6904,18,53,17
1338,4,0,25
58604,828,305,1
121979,2901,595,22
215222,4720,264,24
1826373,37692,2759,26
1118,6,2,19
251684,769,748,25
6355501,424406,28735,10
381688,16467,8352,10
6743,11,16,25
687,10,5,17
190543,6369,518,17
2083918,106243,12707,24
350422,4735,744,22
8088,280,145,24
3839,48,25,24
2328148,48904,8459,24
10309,254,19,25
15432746,233172,12709,10
92327,182,0,22
9036,427,79,28
216234,7715,470,22
5119,20,3,1
4435991,139054,6887,10
1249702,1988,1554,17
300601,10497,991,28
616371,8926,1026,24
3031863,121285,6852,22
10542,77,65,25
3790933,127412,5449,23
1167646,2691,1122,28
849499,27121,5181,24
2398093,48511,1843,10
7727696,59673,7350,26
383308,20371,1732,10
5366,19,2,28
272466,2586,2323,24
58135,519,65,10
43449654,1788960,93428,10
525210,24412,1847,26
390261,9474,3207,26
122772,3912,403,26
46260,2286,17,15
243412,7782,340,22
465893,111,59,28
59168,2412,274,1
82713,3124,250,24
1233722,115781,9706,24
71089,460,20,27
127404,3869,111,24
339256,17267,948,15
226659,9725,1027,10
241314,15071,1011,10
2624056,75930,3555,24
1354030,57838,1257,10
45236,1581,911,24
172587,379,199,23
2122489,20085,1321,1
2291077,102726,11941,26
935744,37129,2673,10
1262652,28119,1113,10
49915,386,24,22
505794,55628,3033,10
3680540,216119,20544,23
1603415,65594,12169,28
2585193,40775,8834,24
4722974,119107,6651,24
6659676,223821,11792,1
804363,39816,10586,10
2336528,6729,1286,1
501670,28309,4084,26
334497,12594,588,24
499946,135292,12094,10
1164713,88541,6750,27
2935330,281095,16009,24
397983,5666,1306,22
3483755,789750,72376,10
505886,23207,7030,25
178977,14355,429,15
406769,6593,1253,24
1117997,50946,5525,28
1117510,61075,64506,23
677167,31301,1690,26
463992,25840,3708,20
228846,1326,1166,24
1276326,70960,4293,22
340348,5474,653,24
1035804,18816,1133,23
270859,11492,1715,28
218153,5155,655,28
177348,18022,3143,10
655161,21013,2671,23
2128788,61484,9079,22
1693011,84669,14183,24
816696,29135,8648,24
1223069,23939,6518,23
5938,108,21,25
531746,32749,1731,24
76491,3849,217,22
769769,6133,2837,24
1828753,10814,4793,28
1884763,135815,12752,10
284037,9821,708,10
1333817,35950,1611,23
39504,1389,696,24
81947,8184,922,10
673010,58902,2901,10
88644,5172,976,24
420033,14353,1071,17
326709,5340,323,17
736829,18708,6460,28
3300683,98182,6794,24
363095,3657,389,24
516456,21523,2972,28
3495474,41976,12311,28
2167114,151277,8848,26
55460,3871,428,20
1716572,46900,10160,1
328417,5188,299,23
325333,2750,383,24
116732,5023,1086,27
82048,3539,347,10
59190,2001,527,24
113926,1026,333,17
82415,4468,354,24
1843479,91834,5441,23
76475,4208,284,27
100908,314,80,24
30569,1184,130,27
360001,28058,942,10
615712,38795,2446,10
23429,365,188,17
26922,111,38,17
69199,4237,220,24
1351046,33595,4344,1
647820,8122,530,24
276231,30255,2293,10
6582,174,22,26
52292,204,120,24
253763,10327,2552,10
12831,86,35,17
38818,370,95,24
19800,10,17,17
322642,25373,2414,26
1383687,159600,8793,23
77486,5189,3194,23
157973,681,546,25
65197,4287,396,22
575434,29299,1749,1
24416,2738,479,26
378984,7464,359,24
101742,6282,797,24
54697,1693,79,10
2400741,92831,21714,22
962308,22111,2928,24
22383,921,78,26
914680,21174,3064,28
5392036,142006,18930,24
28169,1623,113,10
162006,7229,886,28
650799,12694,6656,27
298744,5906,1502,2
12858,37,5,23
34968,1834,317,15
137518,1990,304,17
66349,4544,887,1
356406,11637,699,27
3228511,204840,12937,10
113820,5562,593,24
244538,12392,598,27
80687,197,53,17
492640,10058,2481,24
167484,10718,440,17
863397,16213,2913,24
467678,18528,5726,27
340068,14253,1174,10
16017,206,0,27
4737269,175762,9557,23
39122,1572,949,24
214925,5591,1281,24
240124,4288,438,24
310812,10079,5112,10
34262,2023,299,10
143522,8593,349,23
189155,16242,2204,24
224207,2366,1919,24
2656622,149105,19644,24
39490,1932,159,15
952966,28677,2497,2
1194113,28200,2582,28
327639,17313,1401,27
1014512,5954,3174,17
32977,146,232,25
396661,21839,3337,28
130950,2448,503,2
96267,3194,129,10
86671,280,174,25
296542,8575,2018,15
2630503,18741,2810,24
33738,1933,491,26
426359,6418,344,23
50473,5682,1634,23
759217,9848,3477,25
68613,1288,142,10
10899,58,5,17
181539,7193,642,28
108991,430,556,25
186961,5065,222,24
83497,410,76,25
3591,92,14,26
47069,131,41,17
442407,2742,473,19
368795,9519,1273,23
277792,6408,591,1
22221,83,63,17
142010,5190,720,24
256761,13909,1730,26
313133,10118,1584,24
66800,3578,351,23
48179,4603,446,1
336398,4447,265,28
42422,243,58,25
48864,1941,86,10
34460,620,65,26
64932,39,30,25
106641,230,0,24
141308,4455,327,22
43426,309,47,17
900779,47602,3796,23
6993,20,53,17
24578152,891282,125444,10
1431,4,0,25
7095077,438470,29178,10
58689,831,306,1
122634,2908,595,22
256760,782,793,25
8993,292,162,24
6801,11,16,25
1204,7,2,19
227162,4836,268,24
1856410,38114,2768,26
704,10,5,17
393265,16805,8480,10
352770,4782,741,22
3914,48,24,24
9747,447,81,28
10541,261,19,25
17679753,248909,13058,10
2374251,49509,8545,24
5159763,146732,7048,10
194930,6466,536,17
5318,20,3,1
218186,7773,443,22
1267977,2028,1586,17
629166,8985,1030,24
8041928,60434,7545,26
3913682,129182,5531,23
11156,86,74,25
312769,8665,966,24
2954882,52519,1948,10
2720774,76529,3599,24
403887,20780,1739,10
277614,2609,2337,24
6247,22,2,28
6451949,150015,26863,28
18558186,1002549,59945,10
7797259,94545,17122,24
1291361,16081,2877,24
823285,89055,7649,10
1593121,61135,16283,10
366048,14742,1948,25
133092,4168,266,10
8072982,174944,9529,24
3252728,10779,1949,1
178325,1641,178,23
81759,5896,864,22
4340962,396790,41890,10
646615,68813,5977,10
8291139,254158,11910,1
751525,77456,3164,10
803802,36813,5178,26
803168,35094,3320,28
1654828,109421,7924,27
185707,7018,347,24
582019,17558,933,24
4716036,395289,19741,24
33260,181,30,22
544230,17911,3045,27
523234,6762,1754,22
187278,9402,1373,27
248793,29652,1371,10
26393,162,94,22
1666003,61821,6597,28
438484,4629,474,24
123751,3583,345,26
336907,18768,603,15
364124,26993,1121,10
31816,215,62,24
50702,2718,98,26
5158539,926887,79570,10
89852,5269,547,26
1248432,64410,66471,23
336404,1795,1495,24
172877,11271,407,22
57818,3032,191,10
686170,32999,4597,20
759465,33415,1735,26
53502,1747,374,26
20772,361,115,17
18346,544,20,10
67433,439,169,25
291603,6006,700,28
21007,433,35,24
1274705,88299,3638,10
360308,23311,4191,10
44284,5183,422,24
176380,12369,1285,10
47358,1358,145,24
372468,13355,2119,28
82266,11788,1309,24
9445,381,35,23
379172,5794,360,17
304954,2981,126,24
1448352,76717,4539,22
441164,36355,2482,10
46197,3794,889,1
756962,22854,2902,23
625607,34952,1766,24
2003729,93297,15120,24
914063,31150,9449,24
2242229,63341,9293,22
50899,1520,864,24
384420,12145,787,10
127535,5146,275,22
578964,22898,3391,28
112967,5896,1066,24
2312628,148859,13940,10
1285629,24686,6778,23
178887,19838,1055,10
63841,4226,481,20
1985134,11176,3627,28
525327,16698,1212,17
1406451,37209,1782,23
408821,3912,466,24
799694,19416,6617,28
3447230,100566,6954,24
64813,3479,91,26
485602,32167,1004,10
92342,4797,373,24
595598,136072,6292,10
3631775,43038,12476,28
2286953,156920,8454,26
386174,6074,304,23
128804,5369,1179,27
1836995,48570,10096,1
125604,387,88,24
2002223,95909,5624,23
84488,4493,291,27
120991,1060,377,17
674220,40478,2430,10
61066,68,7,23
25521,393,409,25
33164,1253,134,27
694375,8462,458,24
62257,2060,538,24
1408656,34417,3703,1
331642,21739,1628,22
274155,10765,2560,10
210266,3759,270,28
30873,119,40,17
54256,208,122,24
14190,89,36,17
92106,5791,3664,23
40326,383,64,24
20292,10,17,17
340649,26383,2167,26
1443934,163475,9111,23
38528,283,0,25
161057,686,541,25
71415,4483,420,22
293758,20134,918,24
596888,29736,1768,1
7544,1049,128,10
39363,1955,367,15
981376,22491,2931,24
1975,4,0,24
68611,1899,82,10
111222,6724,855,24
2468267,94303,21866,22
606481,13385,633,24
362775,6411,1750,2
961935,21757,3084,28
25796,2842,502,26
169411,7443,973,28
5661444,145774,19365,24
131762,150,79,17
728698,13623,7015,27
34784,1863,126,10
187106,11363,489,17
1387,15,1,28
3903013,219847,13620,10
368865,11889,705,27
139806,2007,303,17
68585,4630,932,1
11807,5,0,24
252084,12712,634,27
518064,10394,2465,24
388443,15160,1240,10
496031,18985,6004,27
220365,5694,1288,24
885011,16396,2956,24
43009,2017,167,15
119765,5741,615,24
261429,4470,454,24
37533,2150,357,10
360433,10988,5212,10
42087,1671,872,24
107173,3477,137,10
4949674,180201,9687,23
198789,16735,2314,24
146013,8719,349,23
3317,19,2,17
1384436,39121,3029,2
21855,281,0,27
2744125,151426,20039,24
13676,1172,169,23
1224268,28632,2595,28
1042282,6029,3187,17
413662,22359,3393,28
227345,2390,1958,24
33434,147,224,25
35487,1999,514,26
87065,281,173,25
265799,14179,1727,26
333944,17486,1424,27
3841,97,14,26
11032,58,5,17
136837,2504,505,2
2688797,19042,2689,24
52416,5873,1664,23
59959,2256,96,10
72940,1353,145,10
434036,6464,348,23
100168,514,88,25
301738,8634,2027,15
112077,438,572,25
195143,5171,239,24
789594,10203,3551,25
472936,2867,467,19
47760,132,41,17
371683,9600,1282,23
188957,7394,680,28
22302,83,63,17
49451,4666,447,1
292891,6725,598,1
324024,10288,1586,24
147851,5319,739,24
343273,4503,266,28
48130,271,71,25
26448434,911883,127481,10
73984,3676,353,23
67471,40,29,25
35125,627,64,26
108297,232,0,24
4707527,157931,23205,1
2959054,415035,30393,10
396346,11277,2140,25
1188326,25951,2263,17
322818,14604,2014,26
29943556,1388751,79828,10
21046,1308,206,24
195386,2544,384,23
1540436,125458,9721,10
11072585,119371,20757,24
101553,11324,2593,23
148223,1453,743,22
1905799,127150,4255,10
1612055,18320,3563,24
831968,3925,769,2
286288,6590,453,10
2280611,84882,11245,28
8533826,180591,32468,28
370302,12763,682,26
194110,8542,472,17
148145,7944,1192,22
242240,5045,445,26
240931,23549,1965,23
1246742,89204,7933,10
2173621,74326,19679,10
6705901,471760,50744,10
4116378,13119,2394,1
9856767,201286,10718,24
467983,41915,3679,24
79541,430,132,24
311937,9928,444,24
998296,40745,3934,28
288770,12220,1812,27
926121,39732,5527,26
580897,49373,2391,10
9779219,283197,13116,1
1795369,115580,8156,27
365523,22347,1096,24
166940,8124,679,26
567182,5387,583,24
100954,618,241,25
679693,19264,1048,24
5514929,439189,21011,24
855475,23255,4011,27
587048,35351,1236,10
581091,7318,1877,22
52602,312,0,24
414431,20345,694,15
97375,3598,213,10
6066643,976120,82380,10
128700,14662,1439,24
38057,759,81,23
610459,30692,1475,10
42399,1095,35,10
43202,540,67,24
99495,2837,461,26
78147,1591,197,24
198335,12338,422,22
374411,1959,1602,24
343860,6546,732,28
1329506,66170,66546,23
1839303,109122,4115,10
126419,9064,448,10
461828,25387,4818,10
233492,13899,1411,10
825470,34831,1950,26
925595,39452,5416,20
538348,38894,2561,10
433978,29936,1943,10
50157,5561,422,24
64813,3158,115,26
429721,14372,2272,28
361618,3239,133,24
1524361,79021,4659,22
58760,4314,880,1
673143,35844,1801,24
800306,23559,2977,23
797596,157975,6758,10
2259888,99803,15766,24
156892,5863,288,22
987117,32742,10123,24
24423,395,122,17
2758724,158996,14663,10
440942,13096,821,10
2326348,64614,9385,22
616420,23599,3431,28
125328,6274,1080,24
330225,27807,1226,10
1315527,25054,6564,23
602977,18336,1299,17
2056950,11386,3500,28
52886,1537,869,24
1497824,38000,1785,23
594612,34666,1025,10
862532,20024,6421,28
444789,4130,469,24
127525,1094,414,17
3560412,102520,7054,24
68145,4410,541,20
34293,400,381,25
7108,587,57,10
484287,7792,342,23
2415668,162209,8678,26
1940520,50156,10413,1
98092,4974,387,24
3545,18,1,24
135090,5554,931,27
247839,4145,298,28
2143149,99173,5815,23
149074,469,92,24
74115,3793,94,26
3716275,43697,12489,28
736587,42050,2466,10
12212,4,3,2
920,3,1,17
3748,6,0,25
84580,94,8,23
88932,4625,300,27
35082,1306,138,27
383830,23234,1686,22
732349,8729,455,24
1455500,35048,3808,1
63818,2080,543,24
14527,89,36,17
102941,6135,3930,23
291272,11130,2593,10
5258,433,30,10
328302,21299,948,24
33543,122,39,17
3390,9,1,10
41562,393,63,24
2421,10,0,24
55311,212,119,24
20464,10,17,17
38987,287,0,25
357376,27314,2192,26
15382,33,10,1
4759,40,13,22
1493983,166290,9262,23
2043,4,0,24
4843,387,27,10
163436,690,539,25
1357577,172690,9445,10
117379,6934,886,24
612546,30139,1774,1
26621,2922,505,26
26473,2016,223,15
75397,4573,479,22
12984,1304,148,10
39467,2032,134,10
1000303,22849,2914,24
79057,2048,89,10
44511,2086,377,15
415473,6763,1817,2
1002346,22250,3116,28
766661,16842,767,24
804735,14588,7459,27
175608,7612,1001,28
5893503,148741,19616,24
2524854,95587,22038,22
144514,170,101,17
4756676,236846,14088,10
202092,11864,528,17
140792,2018,292,17
1616,16,1,28
70382,4691,907,1
380111,12095,643,27
535337,10633,2505,24
11849,5,0,24
27997,366,0,27
44810,2067,169,15
426730,15763,1259,10
124948,5933,640,24
44856,1731,881,24
897162,16551,2966,24
260902,13029,634,27
522367,19504,6220,27
107919,1440,154,24
39720,2229,338,10
403685,11598,5861,10
207465,17136,2328,24
5159241,184500,9875,23
147976,8826,351,23
225280,5770,1312,24
1579188,42376,3543,2
3491,19,2,17
2819118,153395,20573,24
1251577,28951,2606,28
37376,2093,521,26
33761,149,222,25
429830,22885,3403,28
784937,4553,1478,17
230403,2413,2002,24
87403,285,175,25
338085,17626,1418,27
69170,2462,101,10
112866,3643,137,10
3987,100,15,26
11156,58,5,17
111077,567,102,25
9920833,262448,35134,1
165139,3496,557,1
4575521,295650,83065,24
1675419,12798,1625,24
1174413,76342,7224,22
226800,2167,1137,17
1726301,21400,3152,24
601839,6424,536,24
18916,1425,180,23
214150,4262,753,24
19744,544,86,10
5620985,550027,35849,10
703631,15716,2864,25
325569,12404,1437,23
418595,4023,665,23
541017,18581,2455,26
1704485,30305,2622,17
1891954,86481,8941,24
212132,15161,3444,23
38646917,1600400,91398,10
66888,1098,313,22
1992282,10103,1971,2
1923973,138077,10465,10
42224,823,175,26
291062,10211,635,17
267395,2439,1435,22
446368,33965,4340,15
12776633,130537,24010,24
458438,14738,806,26
2797467,148524,4662,10
9421291,191296,34456,28
29041,191,177,25
303310,26650,2134,23
16431,151,54,17
1743129,19277,3881,24
372390,7993,547,10
2638137,91307,12009,28
602682,47008,4520,24
1923738,35159,5336,28
327482,5917,500,26
44805,1496,1098,24
13910,108,70,25
172546,8823,1287,22
95900,604,537,25
1647994,99765,9056,10
1577521,15755,1892,23
2597587,83723,21213,10
17627,193,390,25
8097332,505290,55549,10
112443,594,179,24
4251667,14290,2600,1
10663409,210255,11227,24
50934,1349,138,26
126248,763,286,25
366465,11098,472,24
332872,13117,1882,27
1101988,43550,3892,28
63719,1046,117,23
1126715,12919,1248,19
67147,395,0,24
799867,57346,2922,10
741859,8604,2847,2
416327,24167,1150,24
199206,9193,728,26
989954,41261,5622,26
10729515,300465,13980,1
1875686,118922,8233,27
614887,5594,597,24
151602,15327,1493,24
978535,25073,4344,27
5889680,458893,22510,24
58233,1449,45,10
720203,19850,1073,24
775185,40873,1360,10
124901,3939,229,10
786977,34409,1550,10
619920,7604,1969,22
456234,21148,716,15
6674015,1003201,84010,10
158953,9980,500,10
51678,632,77,24
507616,31774,2018,10
300653,14228,768,10
389849,2001,1628,24
2329130,122211,4400,10
209701,12859,426,22
1373834,67021,66879,23
617423,40618,2667,10
533644,26802,4976,10
98684,1714,244,24
279611,14937,1371,10
866709,35710,1952,26
1091211,43213,5980,20
70307,3339,121,26
456680,14799,2317,28
701536,36320,1813,24
910217,167996,6990,10
389506,3347,131,24
4970,13,1,24
53126,5757,435,24
15353,1239,83,10
17899,1508,160,10
483212,26752,1358,10
476488,34296,1410,10
18525,1124,59,10
1048329,34097,10445,24
61690,4483,957,1
25945,403,123,17
479061,13671,828,10
645283,24187,3494,28
138548,6762,1151,24
80851,9806,614,26
3155840,167396,15158,10
680277,36188,1030,10
9663,665,63,10
1820,2,1,22
169977,6152,315,22
2377193,65290,9354,22
639095,19158,1308,17
1336848,25355,6521,23
895210,20325,6444,28
485303,4389,499,24
2131855,11574,3601,28
70025,4500,544,20
3658261,104137,7122,24
3699,19,1,24
1549485,38632,1806,23
2031003,51470,10669,1
